,panel_name,loan_amount,originations,banksize
255,FIRST WESTERN TR BK,3575,11,3
256,FIRSTBANK,42711,142,2
257,FIRSTRUST SVG BK,96880,297,2
258,FLAGSTAR BK FSB,112583,366,2
259,FLORIDA CAP BK NA,443,1,3
260,"FM HOME LOANS, LLC",665,1,3
261,FORT SILL NB,818,1,3
262,FOUR POINTS FCU,189,1,3
263,FOXBORO FED SVGS,43216,222,2
264,FRANKLIN AMERICAN MORTGAGE CO,171669,595,2
265,"FRANKLIN FIRST FINANCIAL, LTD",8550,25,3
266,FRB FCU,80,1,3
267,FREEDOM MORTGAGE CORPORATION,226610,768,2
268,FREEDOM NB,261,1,3
269,FRONTIER BK,1940,4,3
270,GA BKG CO,1061,4,3
271,GATEWAY FUNDING DIV MTG SVCS,8538,31,3
272,GENERATIONS BK,137,2,3
273,GEORGETOWN BK,23790,50,3
274,GERMAN AMER BC,152,1,3
275,GERSHMAN INVESTMENT CORPORATIO,2391,1,3
276,GFA FCU,269,1,3
277,GLADEWATER NB,44370,149,2
278,GMH MORTGAGE SERVICES LLC,102144,329,2
279,GOLDMAN SACHS BK USA,94758,59,2
280,GOLDWATER BK NA,11297,40,3
281,GORHAM SVG BK,620,1,3
282,GRAFTON SUBURBAN CU,43,1,3
283,GREAT LAKES CU,533,2,3
284,GREAT PLAINS NB,16168,56,3
285,GREENFIELD CO-OP BK,523,1,3
286,GREENWOOD CU,1147,11,3
287,GREYLOCK FCU,321,3,3
288,GSF MORTGAGE CORP,138,1,3
289,GUARANTEED RATE INC.,1960483,5599,1
290,GUARANTY BK,4040,6,3
291,GUARDHILL FINANCIAL CORP,2758,4,3
292,"GUIDANCE RESIDENTIAL, LLC",14223,48,3
293,GUILD MORTGAGE COMPANY,4508,15,3
294,HABIB AMER BK,6305,2,3
295,HAMPDEN BK,765,11,3
296,HANSCOM FCU,50158,186,2
297,HARBORONE BK,370086,1431,2
298,HARTFORD FUNDING LTD,201,1,3
299,HARVARD UNIV EMPL CU,114807,359,2
300,HAVERHILL BK,1777,3,3
301,HERRING BK,162,1,3
302,HINGHAM FCU,141,3,3
303,HINGHAM INST FOR SVG,559081,1068,1
304,HOLBROOK CO-OP BK,5453,15,3
305,HOME LOAN INV BK FSB,38944,184,2
306,HOME POINT FINANCIAL CORP,99808,326,2
307,HOMEBRIDGE FINANCIAL SERVICES,21677,70,3
308,HOMEFIELD CREDIT UNION,780,5,3
309,HOMEFIELD CU,752,2,3
310,HOMESTAR BK & FS,2,1,3
311,"HOMESTAR MORTGAGE, INC.",3552,12,3
312,HOMESTEAD FUNDING CORP,12260,39,3
313,"HOMESVCS LENDING LLC, SERIES A",540,1,3
314,HOMETOWN BK,1230,3,3
315,HOMETOWN BK A CO-OP BK,3640,7,3
316,"HOMEWARD RESIDENTIAL, INC",2019,4,3
317,HOWARD BK,8277,32,3
318,HSBC BK USA NA,40856,58,2
319,HUDSON CITY SVG BK FSB,28142,43,3
320,HUNTINGTON NB,9551,21,3
321,IBERIABANK,335,1,3
322,IDB-IIC FCU,360,1,3
323,IFREEDOM DIRECT CORP,17812,58,3
324,INDEPENDENT BK,250,1,3
325,INDUSTRIAL & CMRL BK,5962,10,3
326,INDUSTRIAL CU,7657,21,3
327,INLAND B&TC,10516,31,3
328,INLANTA MORTGAGE,25863,90,3
329,INOVA FCU,144,1,3
330,INSTITUTION SVG IN NEWBURYPORT,114247,217,2
